AMR.Gene.Family	AMR1A	AMR1H	AMR2A	AMR3A	AMR3H	AMR4A	AMR5A	AMR5H	AMR6A	AMR7A	AMR7H	AMR9H	AMR10A
AAK beta-lactamase	0.272489553	0.165119046	0.036140076	0.068378963	0.000394627	0.179848387	0.027627296	0	0.013615498	0.023101122	0.091128694	0.006671637	0.016286068
ACC beta-lactamase	2.353390267	0.970032485	0.599781187	0.586415368	1.550501795	1.327311384	0.384631578	0.554345289	2.500356708	0.577148395	1.714320523	0.822092406	0.762481977
ACI beta-lactamase	0.079261757	0.136106697	0.060377895	0.144860817	0.210207685	0.09382725	0.179594907	0.091725042	0.121504925	0.07280786	0.057709329	0.113028178	0.321360723
ACT beta-lactamase	3.373362161	0.694543101	0.998066476	1.045633085	0.512441132	2.144765165	0.766413687	0.299905014	0.37680243	0.447158789	2.04672646	1.218862632	0.681322562
ADC beta-lactamase with carbapenemase activity	0.004735521	0.009207255	0.004804747	0.011126949	0.008428642	0.010871116	0.011571898	0.005221281	0.007788989	0.010997336	0.006214158	0.009856384	0.004558598
ADC beta-lactamase without carbapenemase activity	1.570757757	0.721312657	0.441469238	0.995876449	2.472499473	1.051114036	0.370130793	0.328553726	1.006867225	0.9720718	0.669412765	0.742400167	0.526826727
ADC beta-lactamases pending classification for carbapenemase activity	3.81496919	0.940076866	2.183666589	3.334035426	4.208795607	1.685603479	1.234554788	1.840831887	4.892317526	1.347860549	3.051655422	1.415131569	2.328821778
AER beta-lactamase	0.223441175	0.121242771	0.050958357	0.054966514	0.003770925	0.09417596	0.007942521	0.009765105	0.011909798	0.015629477	0.122728923	0.012890157	0.032432043
AFM beta-lactamase	0.342980886	0.156272294	0.064609762	0.08034971	0.04708798	0.163127154	0.205067202	0.047639191	0.146526349	0.079319979	0.160206243	0.140538852	0.058040574
AIM beta-lactamase	0.464740214	0.094021668	0.039159606	0.093821915	0.04887705	0.418124035	0.056263527	0.085962125	0.069848937	0.070588957	0.156754874	0.030975022	0.121891128
ALG11 beta-lactamase	0.935877222	0.440908155	0.284298106	1.390552066	1.562416775	0.672698226	1.126624814	0.56550015	1.468250315	1.178964817	0.461918767	1.46593532	1.132634411
ALG6 beta-lactamases	0.017984412	0.016640113	0.012219262	0.031070788	0.018480721	0.039724921	0.010260296	0.009207255	0.018618395	0.006014567	0.011670427	0.02717779	0.024590282
ALI beta-lactamase	0.332094176	0.156406559	0.077233102	0.107598862	0.061215452	0.222569494	0.061995519	0.029429076	0.045409983	0.072615991	0.188206198	0.045805428	0.041480175
ANA beta-lactamase	0.138077666	0.04438684	0.013552528	0.027351585	0.005524775	0.1153976	0.009609494	0.00180437	0.014912212	0.010871116	0.021215146	0.006671637	0.023721013
AQU beta-lactamase	0.124283153	0.025873009	0.039073693	0.039462676	0.038056655	0.096094942	0.017442245	0.023989211	0.040766685	0.019768658	0.051922737	0.025845282	0.075148464
ARL Beta-lactamase	0.19014608	0.183646357	0.075373712	0.228339932	0.229426674	0.142545245	0.310563033	0.165105076	0.188525499	0.100654691	0.147282705	0.216280945	0.260106884
AST Beta-lactamase	0.155643544	0.066691923	0.03498757	0.060659932	0.019848072	0.110869058	0.031254459	0.010607573	0.026686546	0.010975394	0.069038833	0.048825524	0.021355499
AXC beta-lactamase	0.155088317	0.066292238	0.075674767	0.039094687	0.04408828	0.187526753	0.031822719	0.016534056	0.022304833	0.04704416	0.500683557	0.027926422	0.094428091
BAT Beta-lactamase	0.149771353	0.061861119	0.033380848	0.080396276	0.077456702	0.073288685	0.027266689	0.024783147	0.059263423	0.093212364	0.075976295	0.063169137	0.04143581
BCL Beta-lactamase	0.203601158	0.058642031	0.227573329	0.369617948	0.27097527	0.110227039	0.141617985	0.158239449	0.374624931	0.145792351	0.220766365	0.10852236	2.797164165
BEL beta-lactamase	0.091120694	0.06613242	0.108711161	0.139827097	0.109936968	0.125685962	0.158850412	0.153578467	0.156059418	0.115918623	0.102208331	0.146702268	0.144743006
BES Beta-lactamase	1.309681268	0.929480429	0.685634936	0.647438817	0.937157019	1.149221633	1.68314898	0.577419845	1.578577197	0.657842812	0.840315502	1.05524258	0.512741861
BIC Beta-lactamase	0.012230006	0.000964325	0.007251779	0.008497079	0.051320902	0.032846262	0.009035019	0.009117195	0.01223343	0.011048706	0.030630263	0.004210197	0.007131928
BIL Beta-lactamase	0	0	0.003186405	0	0	0.009035019	0.000651228	0	0	0	0.000902185	0	0.00135889
BJP beta-lactamase	0.116608604	0.037528766	0.026271414	0.08611047	0.004928192	0.225976191	0.011838803	0.003682902	0.028227889	0.007518209	0.112814129	0.031254459	0.033269206
BKC Beta-lactamase	0.136661356	0.08797869	0.056815155	0.020123451	0.02930527	0.078925352	0.02271123	0.009008901	0.012329863	0.01556057	0.102596158	0.020250821	0.027846831
BPU Beta-lactamase	0.144187297	0.143813362	0.036961441	0.117872307	0.050117599	0.069361323	0.084083074	0.028869923	0.096605202	0.093083932	0.094985993	0.029297187	0.045317755
BRO Beta-lactamase	0.205954938	0.043121681	0.072286332	0.06708655	0.049719179	0.11171037	0.027065553	0.041494852	0.063188362	0.0602703	0.072517789	0.046025845	0.060485349
BSU beta-lactamase	0.177414917	0.207741801	0.090369528	0.390387625	0.299095506	0.104954199	0.280090251	0.170540634	0.214080106	0.124730596	0.180562931	0.283486889	0.269871988
BUT beta-lactamase	0.503399411	0.14995817	0.157137157	0.266663464	0.088113411	0.326123603	0.248676781	0.095468156	0.115738391	0.103735174	0.171680637	0.245903095	0.145792351
Bah amidohydrolase	0.929346025	0.343737532	0.219216586	0.181038475	0.143286911	0.780002582	0.144648721	0.037129108	0.137723491	0.175346416	1.078600217	0.141685524	0.303472349
BlaA beta-lactamase	0.095141638	0.054053405	0.037891774	0.098550274	0.078815592	0.10848654	0.058884444	0.037882811	0.113028178	0.119844469	0.132650505	0.086613353	0.064324162
BlaB beta-lactamase	0.552545915	0.123298629	0.151715553	0.370297393	0.188043337	0.214362583	0.077535847	0.192453384	0.250341779	0.107188179	0.531402225	0.114441761	0.185986557
BlaZ beta-lactamase	0.602058185	0.495344796	0.275175127	0.389587221	0.183905112	0.424853956	0.284097852	0.228148359	0.229571617	0.259840058	0.531167622	0.254734064	0.274471178
CAM beta-lactamase	0.084930595	0.026518932	0.010442562	0.014869888	0.117915883	0.135823731	0.014373894	0.057959311	0.015390444	0.021483596	0.058257558	0.022554627	0.040198138
CAR beta-lactamase	0.699135483	0.096883766	0.035758541	0.172902564	0.001775474	0.362632805	0.0253979	0.003157014	0.027007949	0.044443911	0.103751286	0.043439923	0.073380034
CARB beta-lactamase	0.657301236	0.366082492	0.614017938	1.040427534	1.093237288	1.367579254	0.419488248	0.406346868	0.837827774	0.2905036	1.251977489	0.673329755	0.417070478
CAU beta-lactamase	0.086741016	0.031770082	0.039948156	0.018891403	0.002604913	0.062351028	0.007979621	0.00180178	0.004811654	0.006483571	0.14132451	0.016875684	0.019434767
CBP beta-lactamase	0.200395904	0.134935994	0.066119911	0.139362838	0.060772521	0.165116779	0.096695535	0.033982305	0.099198631	0.11278783	0.19479361	0.043800744	0.071871128
CDD beta-lactamase	0.173108677	0.049281921	0.064471593	0.049722972	0.170027315	0.115914524	0.039696144	0.062890635	0.132491728	0.056895163	0.058594373	0.05204461	0.09592121
CGA beta-lactamase	0.234499809	0.217510224	0.069848937	0.219746494	0.272068804	0.105254927	0.180243264	0.099198935	0.196240098	0.098334121	0.111524164	0.177179305	0.230811569
CGB beta-lactamase	0.023444216	0.004340894	0.010434889	0.015615428	0.013833505	0.036307996	0.010191671	0.003857299	0.005511352	0.007434944	0.034213935	0.005326421	0.01067775
CIA beta-lactamase	0.078530726	0.072430408	0.050449844	0.054431834	0.089473275	0.143362844	0.070877873	0.031037614	0.046733935	0.063540165	0.093212364	0.049281921	0.104847743
CKO beta-lactamase	0.037442838	0.007207121	0.002105099	0.018802355	0.032613348	0.020732983	0.009572348	0.00424854	0.027493341	0.015979262	0.011499115	0.014327021	0.01460119
CMA beta-lactamase	0.242039135	0.021351714	0.019450712	0.057752804	0.002410812	0.079479496	0.00354045	0.001832889	0.030183051	0.00616024	0.229232332	0.008681789	0.033146119
CME beta-lactamase	0.039395416	0.051220208	0.059791139	0.066538411	0.039449677	0.059125509	0.090422542	0.120732205	0.064066498	0.069681419	0.050117599	0.076113311	0.124923424
CMH beta-lactamase	0.280090251	0.086968929	0.031340556	0.038289392	0.022304833	0.142965371	0.049713261	0.013141846	0.04363229	0.011838803	0.125218672	0.024624329	0.028869923
CMY beta-lactamase	2.732726816	0.866445836	0.330391045	0.702425208	1.322124197	2.606395256	0.505961059	0.599781187	0.678363404	0.702820489	1.847425256	0.342228878	1.005601805
CPS beta-lactamase	0.182257388	0.048151812	0.020888653	0.091644468	0.051488735	0.121972755	0.050795801	0.014206563	0.054629715	0.010810681	0.089015596	0.047978423	0.033292793
CRD3 beta-lactamase	0.145905791	0.023366968	0.027493341	0.101201996	0.001642731	0.161504598	0.009076416	0.003069085	0.027627296	0.009623308	0.060945564	0.016306674	0.035680018
CRH beta-lactamase	0.127810232	0.064151128	0.081671786	0.038604172	0.052749486	0.089974902	0.050946813	0.019218988	0.024960454	0.02658264	0.133171173	0.034715693	0.035388681
CRP beta-lactamase	0.246829101	0.063029313	0.018480721	0.034515095	0.000394627	0.108031796	0.00360356	0	0.007780285	0.006794448	0.046287591	0.004641138	0.008851124
CSA beta-lactamase	0.830033912	0.066941276	0.066425278	0.086423261	0.008593438	0.289486012	0.007217481	0.007780285	0.031933904	0.023143795	0.132852589	0.012745619	0.086756763
CSP beta-lactamase	0.617256065	0.799057022	0.707171158	1.134333855	3.260621494	0.65618929	1.308384554	0.875804293	2.037136148	0.52009758	0.531067446	1.306850119	0.823819754
CTX-M beta-lactamase	2.866706609	0.650344904	0.664150017	1.009597482	0.48898432	1.801784279	0.781361471	0.292672578	0.438877657	0.422375642	1.62210709	1.115885162	0.506371742
CVI beta-lactamase	0.107733106	0.054015898	0.04264213	0.028869923	0.007780285	0.182091195	0.008196761	0.002320569	0.009913259	0.010997336	0.246790831	0.011499115	0.033212639
CblA beta-lactamase	0.200718166	0.056455778	0.03308012	0.079747919	0.048920023	0.084860583	0.030457471	0.024075058	0.070260759	0.1278341	0.18562857	0.057308083	0.062351028
CepA beta-lactamase	0.242639728	0.03127575	0.096605202	0.11142894	0.061716787	0.100654691	0.032926182	0.043378382	0.181098308	0.042710998	0.200578291	0.031570141	0.093300187
CepS beta-lactamase	0.002706555	0	0	0.000482162	0	0.00354045	0	0.000887737	0.004517509	0	0	0.000613817	0.003002967
CfiA beta-lactamase	2.028060894	1.762479702	1.98940207	1.573636013	3.468224465	2.869082822	3.903378726	1.462441016	4.635442444	1.485375132	2.187030046	2.629397845	1.267269326
CfxA beta-lactamase	0.447754095	0.090164369	0.049892239	0.100194725	0.122803588	0.420787245	0.06283445	0.064471593	0.072611324	0.076727128	0.164562588	0.037891774	0.127726341
CphA beta-lactamase	0.381872622	0.104135544	0.074703487	0.202228793	0.198853044	0.289120605	0.106150199	0.039857303	0.133198294	0.104503249	0.144048886	0.115407557	0.146760068
DES beta-lactamase	0.209721445	0.155071694	0.169236785	0.585906291	0.16263034	0.450649926	0.268346198	0.151612804	0.395190448	0.224042631	0.560180503	0.413102413	0.274350407
DHA beta-lactamase	0.664542397	0.648231873	0.560161923	0.512942665	0.755424731	0.521301953	0.632845349	0.393989261	0.348544174	0.709950984	1.019846581	0.50193106	0.248010837
DHT2 beta-lactamase	0.301204819	0.084334996	0.043943047	0.125687046	0.030780887	0.24307154	0.073872987	0.024358997	0.106330558	0.086289484	0.20684767	0.033358183	0.058417419
DIM beta-lactamase	0.272535199	0.055442162	0.016931934	0.069059683	0.004910536	0.130328765	0.00360874	0.003241785	0.019024453	0.005303786	0.041770246	0.010621349	0.029937193
EAM beta-lactamase	0.329367508	0.134804241	0.01578507	0.107417979	0.003002967	0.117885519	0.011670427	0.003397224	0.017357846	0.008121992	0.10196495	0.021994672	0.055039682
EBR beta-lactamase	0.123733361	0.044592824	0.044808643	0.058257558	0.019547344	0.108923987	0.038048906	0.014947034	0.017404269	0.009205169	0.122192624	0.028407578	0.020123451
EC beta-lactamase	0.322804691	0.112328515	0.049849251	0.039996872	0.041494852	0.307788475	0.038572992	0.013053202	0.029031687	0.043989345	0.328462617	0.043943047	0.086613353
ECM beta-lactamase	0.1153976	0.046245691	0.015337147	0.03760471	0.052317246	0.045323266	0.013053202	0.013807754	0.028104304	0.039948156	0.096099747	0.02930527	0.014995817
ECV beta-lactamase	0.430625458	0.078790831	0.080396276	0.097840045	0.095468156	0.107036256	0.049566295	0.038490677	0.138486941	0.044353729	0.235093386	0.046960585	0.09882454
EFM beta-lactamase	0.464625323	0.598433569	0.245279558	0.436356974	0.210301587	0.588068685	0.241941396	0.532642082	1.385232672	0.498189586	0.502359868	1.231930761	0.342938824
ELM beta-lactamase	0.269716538	0.115505609	0.028929744	0.05018231	0.024429102	0.121581661	0.144701099	0.021355499	0.082705983	0.031570141	0.12767394	0.069668833	0.027065553
ERP beta-lactamase	0.072700589	0.017357846	0.01247306	0.038236856	0.01955082	0.104752943	0.020534134	0.024746672	0.030780887	0.029463217	0.051050438	0.016840788	0.04862678
ESP beta-lactamase	0.080038959	0.045831242	0.039653036	0.099586989	0.189975676	0.123615486	0.121779676	0.039462676	0.118466685	0.064864086	0.059243488	0.101143702	0.106672827
EVM beta-lactamase	0.067006437	0.026907417	0.032992009	0.058590629	0.007392288	0.140014067	0.007103282	0.004910536	0.011411274	0.003007284	0.178946549	0.025139456	0.027483257
EXO beta-lactamase	0.24535316	0.103863731	0.051488735	0.047639191	0.015629477	0.162980853	0.021483596	0.009609494	0.017742973	0.029176068	0.108031716	0.017357846	0.014503558
FAR beta-lactamase	0.437654244	0.143738937	0.074240017	0.131805339	0.168799681	0.240237355	0.104653471	0.097901917	0.214025099	0.097396805	0.072517789	0.086741016	0.215059019
FEZ beta-lactamase	0.034497345	0.022792988	0.008287162	0.006751987	0.006005934	0.028869923	0.007780285	0.006115003	0.011089735	0.002320569	0.125331917	0.014052152	0.059478366
