AMR.Gene.Family	AMR1A	AMR1H	AMR2A	AMR3A	AMR3H	AMR4A	AMR5A	AMR5H	AMR6A	AMR7A	AMR7H	AMR9H	AMR10A
LUT beta-lactamase	0.118605063	0.021994672	0.031958525	0.032443932	0.001953685	0.077346845	0.01227634	0.00180178	0.005713839	0.012318784	0.147439512	0.003857299	0.01247306
MAL beta-lactamase	0.237664655	0.114518048	0.027515739	0.082705983	0.020125965	0.161433877	0.041440944	0.008119666	0.060945564	0.046202244	0.107040053	0.020595052	0.032572137
MBL beta-lactamase	0.233474779	0.053388748	0.023444216	0.013811937	0.004910536	0.103302062	0.002405827	0.008428642	0.023780567	0.016875684	0.044670958	0.015577978	0.041545492
MIR beta-lactamase	0.126079582	0.048190888	0.039462676	0.098210723	0.028828483	0.0625515	0.030472782	0.054355581	0.037126505	0.031037614	0.054168879	0.028715267	0.10830389
MOC beta-lactamase	0.168668108	0.043014317	0.049105362	0.069668833	0.01473569	0.150418839	0.063867807	0.02603677	0.033938325	0.029385732	0.200395904	0.116293521	0.067351959
MOX beta-lactamase	1.514972139	1.559095234	2.068443622	1.180659557	5.922741772	3.256578724	1.68419327	0.610019638	2.256328554	1.758351866	2.910001243	1.594680838	1.23407747
MSI beta-lactamase	0.344965166	0.133932325	0.037290317	0.110869058	0.078136147	0.196240098	0.039449677	0.021950788	0.091033505	0.111854837	0.13182914	0.126989502	0.049722972
MSI-OXA family beta-lactamase	0.218615993	0.112773137	0.293057393	0.317980147	0.761816595	0.109646896	0.164984953	0.228500208	0.809615965	0.196717003	0.351663237	0.222964121	0.214835957
MUS beta-lactamase	0.038192502	0.012967141	0.031254459	0.020250821	0.002030498	0.026199327	0.008553484	0.004438684	0.008213654	0.005861054	0.121150416	0.014117791	0.03363323
MYO beta-lactamase	0.099198631	0.057752804	0.015911359	0.030457471	0.027615507	0.04704416	0.04172363	0.021766182	0.037120008	0.020125965	0.063223153	0.033032636	0.015036418
MYX beta-lactamase	0.754863126	0.363068289	0.329810903	0.414586653	1.127226961	1.423042096	0.429163398	0.364036573	0.89698663	0.514378664	0.554948289	0.319072794	0.389014238
NDM beta-lactamase	0.376086674	0.100364619	0.146574615	0.282264962	0.796299913	0.275978759	0.216207768	0.102208331	0.356627689	0.177175049	0.286594131	0.215254545	0.242561779
NPS beta-lactamase	0.024075906	0.013453709	0.01955082	0.059478366	0.028337105	0.031258954	0.021704472	0.030077034	0.043843317	0.010826221	0.022692497	0.018345008	0.014947034
