""	"AMR.Gene.Family"	"AMR1A"	"AMR1H"	"AMR2A"	"AMR3A"	"AMR3H"	"AMR4A"	"AMR5A"	"AMR5H"	"AMR6A"	"AMR7A"	"AMR7H"	"AMR9H"	"AMR10A"
"94"	"ERP beta-lactamase"	0.072700589078605	0.017357846469848	0.0124730596415301	0.0382368560807222	0.0195508199125101	0.104752942847505	0.0205341338907666	0.0247466722238141	0.0307808874366624	0.0294632170150078	0.0510504378325786	0.0168407883894793	0.0486267797401385
"95"	"ESP beta-lactamase"	0.0800389587220768	0.0458312424037616	0.0396530359355638	0.0995869889293482	0.189975676011576	0.123615486022415	0.121779676469822	0.0394626762008492	0.118466685081177	0.0648640857166881	0.0592434877272755	0.101143701859488	0.106672826965804
"96"	"EVM beta-lactamase"	0.0670064366789173	0.0269074172419897	0.0329920086023608	0.0585906290502992	0.00739228820067598	0.140014066529475	0.00710328171615286	0.00491053616916797	0.011411274339047	0.00300728364097845	0.17894654944371	0.0251394560365269	0.0274832569105926
"97"	"EXO beta-lactamase"	0.245353159851301	0.10386373078521	0.0514887346199599	0.0476391906265786	0.0156294771939879	0.162980852709507	0.0214835957401099	0.00960949418025009	0.0177429734817729	0.0291760678440831	0.108031716481291	0.017357846469848	0.0145035577227094
"98"	"Edeine acetyltransferase"	0.173513526723527	0.0541519450313371	0.0451750945596866	0.0748912448878585	0.0260453662925605	0.163275327624835	0.0468462841287192	0.0156378749330879	0.0363079955393034	0.0373694616759184	0.213115781657578	0.0174042692672513	0.0276155071694105
"99"	"FAR beta-lactamase"	0.437654244269659	0.143738937235366	0.0742400166714424	0.131805338510836	0.168799680815149	0.240237354506252	0.10465347070605	0.0979019165434788	0.214025098689351	0.0973968051919247	0.0725177886135469	0.0867410161090458	0.215059019037611
"100"	"FEZ beta-lactamase"	0.0344973449364879	0.0227929875745656	0.00828716200217834	0.00675198723260596	0.0060059338626563	0.0288699229533931	0.00778028475842216	0.00611500281969574	0.0110897352446251	0.0023205692356335	0.125331917153478	0.0140521518121166	0.0594783658540916
"101"	"FIA beta-lactamase"	0.263096199432129	0.0288077536266199	0.0552435319031397	0.0978967219612978	0.0375910455122306	0.169221193495682	0.0958017108419	0.045805428184321	0.0258163327464227	0.0371747211895911	0.0885896527285613	0.123395415727145	0.0439430465262406
"102"	"FIM beta-lactamase"	0.0974728102160976	0.0626093361568916	0.060059338626563	0.0445077978864811	0.0778028475842216	0.109390605996779	0.0814854459278974	0.0269766173642394	0.0534607895202691	0.0775923165277744	0.0932123643982032	0.0620130843501152	0.122430904686238
"103"	"FONA beta-lactamase"	0.210539238253077	0.0816807005321257	0.0381925022404263	0.145231982157214	0.110070050754523	0.105593566024909	0.0446709577859449	0.0424853956452469	0.0788142427723063	0.0941001012019956	0.0496926040156552	0.0853108963505171	0.0477498382030276
"104"	"FOX beta-lactamase"	0.627019495261318	0.0766857328449505	0.167276122306076	0.247317891818806	0.105593566024909	0.186805823468497	0.0807222517259692	0.0739265377941788	0.209505885695009	0.0796724394961745	0.261142514782881	0.0643241622073843	0.111100880827425
"105"	"FPH beta-lactamase"	0.277271551698213	0.201639046655774	0.0815333709292766	0.120540600485055	0.0127631307959843	0.180208886528589	0.051320902270339	0.0292953145251496	0.0357293929699339	0.0560056266117898	0.191788606336127	0.0595402510511616	0.0732723931244069
"106"	"FRI beta-lactamase"	0.293057392567235	0.188885642652824	0.135487634945202	0.113997963700496	0.147282704903523	0.265768958185684	0.297391829270458	0.0903501891193731	0.281330589491782	0.140881754037032	0.431513365865635	0.209607091806705	0.116682605269964
"107"	"FTU beta-lactamase"	0.483764667513708	0.460465093852912	0.552875620389682	0.357231368383785	5.22190180600699	0.971184063348898	0.487891021244615	0.765844382505405	1.23833877918265	0.663536199858822	0.617410001081068	0.407787661716678	0.501180009855027
"108"	"Fom phosphotransferase family"	0.356800177435764	0.0643957962888296	0.0562931492299522	0.10386373078521	0.0363972089554889	0.202055877485144	0.0332126390372242	0.0126280563842718	0.0497191787128257	0.039038570107266	0.216524422150448	0.0486267797401385	0.119582277362939
"109"	"GES beta-lactamase"	0.49109046449094	0.137723490883342	0.128913218798113	0.458959927560677	0.0488712386600246	0.618666805595353	0.0599832678252908	0.0534020808397017	0.127325797888314	0.0511238218966336	0.405871521564356	0.14879840194593	0.13018384852386
"110"	"GIL beta-lactamase"	0.112940343423615	0.0213837092793079	0.0221934200948103	0.0303905181583346	0.00260491286566464	0.0864232608798598	0.00429671914802197	0.00060059338626563	0.00390946873327198	0.00907699888482585	0.14200395436849	0.00433946161746199	0.0101524904058966
